# cell id, centroid x, centroid y, centroid z, region, subregion, field
0, 1448458.15, 4919540.71, 0.00, 0, 415, 878.027836
1, 1471303.75, 4921443.66, 0.00, 2, 307, 1438.494430
2, 1449141.49, 4917403.08, 0.00, 0, 415, 497.307367
3, 1458833.71, 4920704.19, 0.00, 1, 159, 1018.646600
4, 1448549.94, 4917148.39, 0.00, 0, 415, 601.309525
5, 1448818.46, 4919439.32, 0.00, 0, 415, 819.383749
6, 1480705.50, 4926689.59, 0.00, 3, 52, 1847.428210
7, 1448508.73, 4919519.70, 0.00, 0, 415, 664.031450
8, 1448480.64, 4920005.76, 0.00, 0, 415, 792.061741
9, 1473839.31, 4936013.85, 0.00, 2, 308, 906.301089
10, 1448439.86, 4919952.27, 0.00, 0, 415, 756.331594
11, 1473782.50, 4936138.95, 0.00, 2, 308, 1218.806380
12, 1448488.12, 4919899.81, 0.00, 0, 415, 739.291113
13, 1448423.39, 4920039.69, 0.00, 0, 415, 909.123288
14, 1449419.13, 4917518.25, 0.00, 0, 415, 483.918861
15, 1448581.21, 4919878.98, 0.00, 0, 415, 653.546502
16, 1469387.68, 4920833.77, 0.00, 2, 307, 1477.950880
17, 1473733.16, 4936192.39, 0.00, 2, 308, 1205.711340
18, 1474037.31, 4935992.46, 0.00, 2, 308, 1021.523810
19, 1471127.98, 4921548.26, 0.00, 2, 307, 1206.396180
20, 1480459.38, 4926878.10, 0.00, 3, 52, 1826.333380
21, 1459256.18, 4921170.54, 0.00, 1, 159, 911.324824
22, 1448609.77, 4916942.58, 0.00, 0, 415, 563.339241
23, 1448580.46, 4916976.52, 0.00, 0, 415, 595.321877
24, 1471362.30, 4921251.52, 0.00, 2, 307, 1203.361940
25, 1448664.04, 4917081.68, 0.00, 0, 415, 669.513183
26, 1480840.34, 4927053.67, 0.00, 3, 52, 1649.096890
27, 1448606.50, 4917060.87, 0.00, 0, 415, 659.710676
28, 1469691.98, 4921133.59, 0.00, 2, 307, 1404.648180
29, 1469659.79, 4921073.25, 0.00, 2, 307, 1201.159280
30, 1473570.92, 4936402.53, 0.00, 2, 308, 1261.845350
31, 1449031.22, 4917577.81, 0.00, 0, 415, 554.368655
32, 1449218.34, 4917139.20, 0.00, 0, 415, 654.207152
33, 1448656.05, 4917418.49, 0.00, 0, 415, 630.312711
34, 1473174.94, 4922252.52, 0.00, 2, 307, 1086.932510
35, 1448625.57, 4917543.41, 0.00, 0, 415, 497.752017
36, 1448551.64, 4917232.88, 0.00, 0, 415, 637.745207
37, 1448804.76, 4919539.84, 0.00, 0, 415, 657.423751
38, 1473396.68, 4922378.94, 0.00, 2, 307, 1241.358300
39, 1448588.30, 4917188.84, 0.00, 0, 415, 565.037054
40, 1481142.10, 4926929.30, 0.00, 4, 5, 2176.052510
41, 1448431.39, 4919614.81, 0.00, 0, 415, 660.983381
42, 1449485.33, 4917042.41, 0.00, 0, 415, 556.246472
43, 1448462.39, 4920708.96, 0.00, 1, 163, 790.396820
44, 1447251.67, 4924167.31, 0.00, 1, 163, 927.322968
45, 1472544.96, 4936426.44, 0.00, 3, 53, 1289.405260
46, 1448509.97, 4920705.73, 0.00, 1, 163, 678.602106
47, 1473712.20, 4936079.95, 0.00, 2, 308, 1244.358570
48, 1481806.74, 4927063.83, 0.00, 4, 5, 2350.650520
49, 1448594.20, 4920644.50, 0.00, 1, 163, 806.787891
50, 1448534.29, 4920808.82, 0.00, 1, 163, 808.966279
51, 1448566.31, 4920756.98, 0.00, 1, 163, 806.393155
52, 1473108.77, 4936025.80, 0.00, 2, 308, 1313.460340
53, 1472595.46, 4936353.99, 0.00, 3, 53, 1519.145780
54, 1480935.55, 4929101.45, 0.00, 4, 5, 2742.875140
55, 1448777.69, 4920992.10, 0.00, 1, 163, 861.837014
56, 1448562.87, 4920896.37, 0.00, 1, 163, 806.423804
57, 1448705.86, 4921139.37, 0.00, 1, 163, 696.456725
58, 1448508.03, 4920746.55, 0.00, 1, 163, 757.203110
59, 1480969.34, 4929173.75, 0.00, 4, 5, 2753.069430
60, 1449029.72, 4920512.80, 0.00, 1, 163, 923.109984
61, 1473588.73, 4936148.61, 0.00, 2, 308, 1492.536990
62, 1448775.23, 4920685.81, 0.00, 1, 163, 867.125057
63, 1481098.68, 4928732.31, 0.00, 4, 5, 2819.952670
64, 1448773.12, 4920229.01, 0.00, 1, 163, 779.759043
65, 1448776.66, 4921256.67, 0.00, 1, 163, 839.225891
66, 1448814.75, 4921299.25, 0.00, 1, 163, 891.546381
67, 1448633.57, 4920464.92, 0.00, 1, 163, 785.612142
68, 1448565.35, 4920169.74, 0.00, 1, 163, 736.261997
69, 1472927.83, 4935987.63, 0.00, 2, 308, 1623.349400
70, 1448593.92, 4921175.68, 0.00, 1, 163, 903.590149
71, 1448581.64, 4920593.30, 0.00, 1, 163, 724.144476
72, 1473027.66, 4935893.21, 0.00, 2, 308, 1413.189420
73, 1477068.58, 4925763.68, 0.00, 2, 308, 1314.851310
74, 1449129.15, 4921824.76, 0.00, 1, 163, 804.663572
75, 1448645.51, 4921801.01, 0.00, 1, 163, 936.868662
76, 1477108.37, 4925904.31, 0.00, 2, 308, 1082.197230
77, 1448655.40, 4921279.82, 0.00, 1, 163, 898.649788
78, 1448568.31, 4921018.06, 0.00, 1, 163, 955.019100
79, 1448579.33, 4921121.25, 0.00, 1, 163, 817.811398
80, 1477113.43, 4925984.42, 0.00, 2, 308, 1226.976230
81, 1457218.41, 4919267.28, 0.00, 1, 159, 870.408434
82, 1448583.00, 4920059.98, 0.00, 0, 415, 727.633833
83, 1480122.16, 4931702.47, 0.00, 4, 5, 2380.213640
84, 1448724.47, 4917038.02, 0.00, 0, 415, 659.495412
85, 1469584.06, 4921197.91, 0.00, 2, 307, 1304.792120
86, 1448730.26, 4916718.18, 0.00, 0, 415, 581.184825
87, 1480482.99, 4926792.87, 0.00, 3, 52, 1879.733530
88, 1448761.45, 4916690.63, 0.00, 0, 415, 608.750171
89, 1481083.84, 4926854.75, 0.00, 3, 52, 2042.678130
90, 1480899.36, 4927207.26, 0.00, 4, 5, 2033.531500
91, 1448743.63, 4916704.03, 0.00, 0, 415, 606.849919
92, 1480994.82, 4926793.42, 0.00, 3, 52, 2097.515400
93, 1448727.53, 4916830.99, 0.00, 0, 415, 524.642568
94, 1473538.68, 4936243.18, 0.00, 2, 308, 1434.952860
95, 1448950.45, 4916776.95, 0.00, 0, 415, 498.529042
