# pid, centroid x, centroid y, centroid z, field, isovalue_min, isovalue_max, field_m_sigma, field_p_sigma, misclassification
90, 1480899.36, 4927207.26, 0.00, 2033.531500, 2052.970000, 3364.610000, 2846.862660, 1220.200340, 19.438500
172, 1481175.94, 4926742.66, 0.00, 1899.903440, 2052.970000, 3364.610000, 2485.197830, 1314.609050, 153.066560
351, 1480075.92, 4931242.32, 0.00, 1999.919500, 2052.970000, 3364.610000, 2889.387230, 1110.451770, 53.050500
739, 1481077.29, 4927567.53, 0.00, 1966.441230, 2052.970000, 3364.610000, 2819.251440, 1113.631010, 86.528770
917, 1481176.34, 4928248.11, 0.00, 2045.012620, 2052.970000, 3364.610000, 2632.274420, 1457.750820, 7.957380
1138, 1469575.00, 4933414.88, 0.00, 1967.890460, 2052.970000, 3364.610000, 2861.519890, 1074.261040, 85.079540
1202, 1479424.96, 4931208.89, 0.00, 1845.051670, 2052.970000, 3364.610000, 2408.689030, 1281.414300, 207.918330
1407, 1481184.85, 4926802.81, 0.00, 2024.147290, 2052.970000, 3364.610000, 2918.553140, 1129.741430, 28.822710
1565, 1480345.45, 4931696.28, 0.00, 1983.148580, 2052.970000, 3364.610000, 2856.489630, 1109.807540, 69.821420
1621, 1469337.52, 4933434.02, 0.00, 1980.644370, 2052.970000, 3364.610000, 2660.105070, 1301.183660, 72.325630
1884, 1481050.67, 4927187.85, 0.00, 1843.899080, 2052.970000, 3364.610000, 2350.740860, 1337.057310, 209.070920
2173, 1469366.21, 4932594.91, 0.00, 1974.500830, 2052.970000, 3364.610000, 2523.051680, 1425.949980, 78.469170
2233, 1469401.76, 4932465.66, 0.00, 2005.890560, 2052.970000, 3364.610000, 2923.869380, 1087.911740, 47.079440
2256, 1469225.07, 4932821.29, 0.00, 2008.415290, 2052.970000, 3364.610000, 2665.789170, 1351.041410, 44.554710
2538, 1469479.04, 4932359.60, 0.00, 1933.250130, 2052.970000, 3364.610000, 2858.204550, 1008.295710, 119.719870
2889, 1479900.01, 4931542.81, 0.00, 2011.966020, 2052.970000, 3364.610000, 2732.928020, 1291.004010, 41.003980
3051, 1480169.48, 4931451.88, 0.00, 1841.401320, 2052.970000, 3364.610000, 2505.550530, 1177.252110, 211.568680
4309, 1480130.68, 4931072.86, 0.00, 2013.248180, 2052.970000, 3364.610000, 2700.149540, 1326.346820, 39.721820
5903, 1481470.11, 4928356.64, 0.00, 2005.923470, 2052.970000, 3364.610000, 2466.663000, 1545.183950, 47.046530
6057, 1481290.67, 4926728.28, 0.00, 2045.830490, 2052.970000, 3364.610000, 2729.938440, 1361.722530, 7.139510
6189, 1479976.44, 4931334.19, 0.00, 2047.900830, 2052.970000, 3364.610000, 2867.591880, 1228.209780, 5.069170
6196, 1480080.48, 4931358.87, 0.00, 1960.292700, 2052.970000, 3364.610000, 2733.192480, 1187.392920, 92.677300
6252, 1479848.77, 4930678.90, 0.00, 1809.530920, 2052.970000, 3364.610000, 2269.774300, 1349.287550, 243.439080
6282, 1479820.29, 4930746.99, 0.00, 2028.646750, 2052.970000, 3364.610000, 2861.065990, 1196.227520, 24.323250
6860, 1480195.76, 4931899.82, 0.00, 1891.461080, 2052.970000, 3364.610000, 2493.426750, 1289.495400, 161.508920
7004, 1469363.66, 4932585.43, 0.00, 1802.351040, 2052.970000, 3364.610000, 2344.398680, 1260.303400, 250.618960
7005, 1469404.55, 4932608.15, 0.00, 2044.512270, 2052.970000, 3364.610000, 2821.407820, 1267.616720, 8.457730
7008, 1469293.34, 4932741.96, 0.00, 2037.568180, 2052.970000, 3364.610000, 2768.042620, 1307.093740, 15.401820
7018, 1480106.07, 4932595.71, 0.00, 1981.957600, 2052.970000, 3364.610000, 2573.818670, 1390.096530, 71.012400
